"set_id","spelling","meaning"
"1","ma","幽霊"
"1","má","母・頬"
"1","mà","しかし"
"1","mả","墓"
"1","mã","馬（複合語ではコード等の意味も）"
"1","mạ","稲の苗"
"2","la","叫ぶ"
"2","lá","葉"
"2","là","〜である"
"2","lả","疲れ果てた"
"2","lã","水っぽい・味気ない（nước lã=ただの水）"
"2","lạ","見慣れない・不思議な"
"3","ba","3（数字）・父"
"3","bá","伯父（父の兄）※やや古風な言い方"
"3","bà","おばあさん・〜さん（年配女性）"
"3","bả","毒餌※やや特殊な語"
"3","bã","かす・残りかす"
"3","bạ","いい加減な（bừa bạ=でたらめ、の構成要素）※単独使用は稀"
"4","ca","ケース・一件"
"4","cá","魚"
"4","cà","ナス（cà tím等の構成要素）"
"4","cả","全部"
"5","ta","私たち・我々"
"5","tá","ダース（12個）"
"5","tà","邪悪な（tà ma等）"
"5","tả","描写する"
"5","tã","おむつ"
"5","tạ","100kg（重量単位）・お礼をする（cảm tạ）"
"6","xa","遠い"
"6","xá","（人名・地名の構成要素が中心。単独使用は稀）"
"6","xà","蛇（漢越語、xà phòng=石鹸等の構成要素にも）"
"6","xả","放出する・（xả rác=ゴミを捨てる）"
"7","da","皮膚"
"7","dạ","はい（丁寧な返事）・お腹（漢越語）"
"7","đa","多い（漢越語、đa số=多数）"
"7","đà","勢い（đà point の意味、動作の勢い）"
"8","sa","落ちる（sa xuống=落ちる、書き言葉的）"
"8","sà","舞い降りる（sà xuống）"
"8","sả","レモングラス"
"9","va","ぶつかる"
"9","và","そして"
"9","vạ","災い（tai vạ=災難）"
"10","ăn","食べる"
"10","ân","恩恵"
"10","an","安全な"
"11","tôi","私"
"11","tối","夜"
"12","mưa","雨"
"12","mua","買う"
"13","bạn","友達"
"13","bận","忙しい"
"14","cơm","ご飯"
"14","con","子供・（生き物を数える類別詞）"
"15","nước","水・国"
"15","ngược","逆の"
"16","học","学ぶ"
"16","hộc","引き出し"
"17","số","数字"
"17","sợ","怖い"
"18","cô","叔母（父方）・（女性教師への呼びかけ）"
"18","cỏ","草"
"18","cổ","首・古い"
"19","bơi","泳ぐ"
"19","bởi","〜によって（bởi vì=なぜなら）"
"21","thư","手紙"
"21","thứ","〜番目・種類"
"22","khô","乾いた"
"22","khổ","苦しい"
"23","mắt","目"
"23","mật","蜜（mật ong=はちみつ）"
"24","anh","あなた（年上男性）・兄"
"24","ánh","光（ánh sáng=光）"
"27","đường","道・砂糖"
"27","đương","〜している最中（đương nhiên=当然）"
"28","trường","学校"
"28","trưởng","長・リーダー（trưởng phòng=部長）"
"30","quả","果物・結果"
"30","qua","通り過ぎる・向こう"
"31","ạ","丁寧さを表す文末詞"
"31","à","あ、〜なの？"
"32","ấm","暖かい"
"32","ẩm","湿っている"
"33","bán","売る"
"33","bẩn","汚い"
"33","bàn","机、テーブル"
"34","bằng","〜で、〜によって"
"34","bảng","黒板、表"
"35","bão","嵐、台風"
"35","báo","新聞"
"36","bố","父"
"36","bò","牛"
"36","bỏ","やめる、捨てる"
"37","cam","オレンジ"
"37","cầm","持つ、つかむ"
"38","cay","辛い"
"38","cây","木、植物"
"39","chào","こんにちは、やあ"
"39","cháo","おかゆ"
